part_id,power,scan_speed,hatch_spacing,layer_thickness,ved,fatigue_life_class
3,400.0,600.0,75.0,100.0,88.9,short_life
4,370.0,800.0,100.0,100.0,46.3,long_life
5,370.0,800.0,100.0,100.0,46.3,short_life
6,370.0,800.0,100.0,100.0,46.3,long_life
7,370.0,800.0,100.0,100.0,46.3,short_life
8,370.0,800.0,100.0,100.0,46.3,long_life
9,370.0,800.0,100.0,100.0,46.3,short_life
10,370.0,800.0,100.0,100.0,46.3,long_life
11,400.0,600.0,75.0,100.0,88.9,long_life
12,370.0,800.0,100.0,100.0,46.3,short_life
13,370.0,800.0,100.0,100.0,46.3,long_life
14,370.0,800.0,100.0,100.0,46.3,short_life
15,370.0,800.0,100.0,100.0,46.3,long_life
16,370.0,800.0,100.0,100.0,46.3,short_life
17,370.0,800.0,100.0,100.0,46.3,long_life
18,370.0,800.0,100.0,100.0,46.3,short_life
20,370.0,800.0,100.0,100.0,46.3,long_life
21,370.0,800.0,100.0,100.0,46.3,short_life
22,370.0,800.0,100.0,100.0,46.3,long_life
23,370.0,800.0,100.0,100.0,46.3,short_life
24,370.0,800.0,100.0,100.0,46.3,long_life
26,370.0,800.0,100.0,100.0,46.3,long_life
27,400.0,600.0,75.0,100.0,88.9,short_life
28,370.0,800.0,100.0,100.0,46.3,short_life
29,370.0,800.0,100.0,100.0,46.3,long_life
30,370.0,800.0,100.0,100.0,46.3,long_life
31,370.0,800.0,100.0,100.0,46.3,long_life
32,370.0,800.0,100.0,100.0,46.3,short_life
33,370.0,800.0,100.0,100.0,46.3,long_life
34,370.0,800.0,100.0,100.0,46.3,short_life
36,400.0,600.0,75.0,100.0,88.9,short_life
37,370.0,800.0,100.0,100.0,46.3,long_life
38,370.0,800.0,100.0,100.0,46.3,short_life
39,370.0,800.0,100.0,100.0,46.3,long_life
40,370.0,800.0,100.0,100.0,46.3,short_life
41,370.0,800.0,100.0,100.0,46.3,long_life
42,370.0,800.0,100.0,100.0,46.3,short_life
43,370.0,800.0,100.0,100.0,46.3,short_life
45,370.0,800.0,100.0,100.0,46.3,short_life
46,370.0,800.0,100.0,100.0,46.3,long_life
47,370.0,800.0,100.0,100.0,46.3,short_life
48,370.0,800.0,100.0,100.0,46.3,long_life
49,370.0,800.0,100.0,100.0,46.3,short_life
51,370.0,800.0,100.0,100.0,46.3,short_life
52,400.0,600.0,75.0,100.0,88.9,short_life
53,370.0,800.0,100.0,100.0,46.3,long_life
54,370.0,800.0,100.0,100.0,46.3,short_life
55,370.0,800.0,100.0,100.0,46.3,long_life
56,370.0,800.0,100.0,100.0,46.3,short_life
57,370.0,800.0,100.0,100.0,46.3,long_life
58,370.0,800.0,100.0,100.0,46.3,short_life
59,370.0,800.0,100.0,100.0,46.3,long_life
60,400.0,600.0,75.0,100.0,88.9,long_life
61,370.0,800.0,100.0,100.0,46.3,long_life
62,370.0,800.0,100.0,100.0,46.3,long_life
63,370.0,800.0,100.0,100.0,46.3,short_life
64,370.0,800.0,100.0,100.0,46.3,long_life
65,370.0,800.0,100.0,100.0,46.3,short_life
66,370.0,800.0,100.0,100.0,46.3,long_life
67,370.0,800.0,100.0,100.0,46.3,short_life
