print_number,layer,timestamp,print_speed_mms,roi_max,roi_mean,roi_std,roi_min,frame_max,frame_mean,hotend_actual,hotend_target,bed_actual,bed_target,roi_skip_top,roi_n_rows,source_file,speed_from_filename_mms,in_target_window
1,1,2026-06-11 10:45:13,100.0,41.16,25.76,3.63,16.34,74.44,28.66,222.94,220.0,60.59,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,2,2026-06-11 10:45:18,100.0,40.84,25.86,3.74,17.25,73.25,28.73,221.14,220.0,60.08,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,3,2026-06-11 10:45:26,100.0,40.75,25.75,3.75,17.84,72.56,28.56,219.36,220.0,59.53,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,4,2026-06-11 10:45:31,100.0,40.56,24.36,4.22,15.95,73.12,27.74,217.96,220.0,59.4,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,5,2026-06-11 10:45:39,100.0,40.34,24.58,4.21,16.95,72.94,27.94,217.56,220.0,59.43,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,6,2026-06-11 10:45:44,100.0,40.84,24.63,4.23,17.34,73.94,28.11,217.68,220.0,59.46,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,7,2026-06-11 10:45:52,100.0,40.94,24.69,4.24,17.34,72.62,28.18,218.22,220.0,59.5,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,8,2026-06-11 10:45:57,100.0,41.16,24.68,4.27,16.66,74.88,28.21,218.72,220.0,59.64,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,9,2026-06-11 10:46:05,100.0,40.34,24.73,4.19,17.16,73.44,28.26,219.39,220.0,59.75,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,10,2026-06-11 10:46:10,100.0,40.25,25.65,3.83,17.16,72.44,28.88,219.57,220.0,59.79,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,11,2026-06-11 10:46:18,100.0,40.84,25.99,3.85,17.34,73.38,28.98,219.92,220.0,59.94,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,12,2026-06-11 10:46:23,100.0,41.66,24.75,4.32,16.95,73.88,28.41,220.32,220.0,59.97,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,13,2026-06-11 10:46:31,100.0,40.94,24.68,4.35,17.34,73.94,28.5,220.15,220.0,60.01,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,14,2026-06-11 10:46:36,100.0,40.66,24.7,4.39,16.16,72.88,28.6,220.3,220.0,60.04,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,15,2026-06-11 10:46:43,100.0,42.06,24.8,4.18,17.45,74.38,28.73,220.21,220.0,59.96,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,16,2026-06-11 10:46:48,100.0,40.16,25.32,4.08,16.34,73.56,28.93,220.3,220.0,60.06,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,17,2026-06-11 10:46:56,100.0,41.16,25.27,4.09,16.55,73.75,28.92,220.08,220.0,60.13,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,18,2026-06-11 10:47:01,100.0,41.06,25.1,4.27,17.05,73.38,29.01,220.04,220.0,60.06,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,19,2026-06-11 10:47:09,100.0,40.25,24.99,4.27,16.84,73.06,28.92,220.02,220.0,60.02,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,20,2026-06-11 10:47:14,100.0,41.94,25.04,4.27,17.25,72.75,28.96,220.06,220.0,59.97,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
1,21,2026-06-11 10:47:22,100.0,41.34,24.99,4.28,17.45,74.12,28.99,219.98,220.0,59.96,60.0,30,20,print_001_100mms_20260611_104506.csv,100.0,True
