Volume_Fraction,Strain,Stress
10,0.001,4.365391257
10,0.002,8.178142819
10,0.015,35.83527917
10,0.02,38.10996362
10,0.025,40.19507598
10,0.03,42.13769054
10,0.035,43.89137678
10,0.04,45.31174859
10,0.045,46.24442032
10,0.05,46.75895398
10,0.055,47.04597739
10,0.06,47.24755562
10,0.065,47.39616566
10,0.07,47.49437578
10,0.075,47.59496109
10,0.08,47.68734278
10,0.085,47.77395905
10,0.09,47.85701357
10,0.095,47.93764158
10,0.1,48.01645551
11,0.001,4.416395215
11,0.002,8.258262683
11,0.015,36.00166125
11,0.02,38.31324059
11,0.025,40.41976083
11,0.03,42.36412372
11,0.035,44.05643256
11,0.04,45.36572306
11,0.045,46.25602726
11,0.05,46.76227218
11,0.055,47.04756073
11,0.06,47.2480989
11,0.065,47.37156616
11,0.07,47.48541203
11,0.075,47.58577017
11,0.08,47.67817097
11,0.085,47.76516632
11,0.09,47.84889933
11,0.095,47.93036144
11,0.1,48.01006601
12,0.001,4.482041088
12,0.002,8.438189127
12,0.015,36.3353688
12,0.02,38.6662109
12,0.025,40.80141752
12,0.03,42.75015171
12,0.035,44.4318381
12,0.04,45.70521341
12,0.045,46.54159918
12,0.05,46.98602478
12,0.055,47.23822156
12,0.06,47.4223234
12,0.065,47.56319667
12,0.07,47.68041016
12,0.075,47.78345696
12,0.08,47.85441907
12,0.085,47.96444894
12,0.09,48.02804861
12,0.095,48.10946873
12,0.1,48.19082812
13,0.001,4.538221862
13,0.002,8.550672089
13,0.015,36.64589814
13,0.02,39.05824132
13,0.025,41.22713341
13,0.03,43.19948376
13,0.035,44.84363119
13,0.04,46.01384823
13,0.045,46.78092642
13,0.05,47.22940292
13,0.055,47.50061188
13,0.06,47.70116675
13,0.065,47.85232132
13,0.07,47.97464931
13,0.075,48.08132501
13,0.08,48.17911577
13,0.085,48.27163731
13,0.09,48.36084868
13,0.095,48.44784501
13,0.1,48.53315222
14,0.001,4.5916674
14,0.002,8.612609509
14,0.015,36.85311128
14,0.02,39.25881091
14,0.025,41.45514155
14,0.03,43.43366855
14,0.035,45.0576098
14,0.04,46.23736294
14,0.045,46.92933102
14,0.05,47.34990554
14,0.055,47.5878981
14,0.06,47.76659146
14,0.065,47.90753836
14,0.07,48.02704178
14,0.075,48.13316645
14,0.08,48.23187955
14,0.085,48.32608252
14,0.09,48.41733355
14,0.095,48.5060883
14,0.1,48.59293401
15,0.001,4.642391569
15,0.002,8.71308724
15,0.015,36.93644901
15,0.02,39.3682882
15,0.025,41.57799391
15,0.03,43.56707154
15,0.035,45.16198868
15,0.04,46.28003169
15,0.045,46.94175557
15,0.05,47.32588906
15,0.055,47.56203376
15,0.06,47.73951034
15,0.065,47.87651282
15,0.07,47.99353036
15,0.075,48.0991958
15,0.08,48.19775817
15,0.085,48.29135747
15,0.09,48.38190346
15,0.095,48.47026884
15,0.1,48.55700231
16,0.001,4.720543963
16,0.002,8.882664048
16,0.015,37.27820112
16,0.02,39.77892423
16,0.025,42.03092489
16,0.03,43.9757519
16,0.035,45.55473294
16,0.04,46.59722689
16,0.045,47.23140191
16,0.05,47.60100702
16,0.055,47.8530822
16,0.06,48.01046148
16,0.065,48.15336607
16,0.07,48.27604065
16,0.075,48.38603029
16,0.08,48.48767154
16,0.085,48.58448865
16,0.09,48.67808422
16,0.095,48.76948833
16,0.1,48.85951168
17,0.001,4.771065195
17,0.002,9.025567359
17,0.015,37.65451622
17,0.02,40.21236907
17,0.025,42.51769508
17,0.03,44.50263711
17,0.035,45.99873895
17,0.04,46.9642308
17,0.045,47.57143866
17,0.05,47.93507364
17,0.055,48.19250271
17,0.06,48.38158706
17,0.065,48.53328924
17,0.07,48.66256332
17,0.075,48.77848016
17,0.08,48.88670527
17,0.085,48.99000241
17,0.09,49.08988607
17,0.095,49.18743464
17,0.1,49.28337196
18,0.001,4.807485983
18,0.002,8.985503651
18,0.015,37.69390726
18,0.02,40.24884545
18,0.025,42.55874129
18,0.03,44.52637187
18,0.035,45.98126473
18,0.04,46.88333954
18,0.045,47.43381169
18,0.05,47.78881325
18,0.055,48.00100998
18,0.06,48.17288168
18,0.065,48.3148211
18,0.07,48.44036012
18,0.075,48.55579508
18,0.08,48.66440397
18,0.085,48.76861021
18,0.09,48.86945864
18,0.095,48.96773488
18,0.1,49.06415921
19,0.001,4.857308962
19,0.002,9.092223217
19,0.015,37.70794803
19,0.02,40.25697006
19,0.025,42.56330489
19,0.03,44.5431883
19,0.035,46.00314876
19,0.04,46.92579416
19,0.045,47.45106404
19,0.05,47.75900577
19,0.055,47.97902709
19,0.06,48.14825549
19,0.065,48.29002202
19,0.07,48.4143472
19,0.075,48.52827229
19,0.08,48.63539155
19,0.085,48.73810215
19,0.09,48.8375116
19,0.095,48.93454364
19,0.1,49.02990912
20,0.001,4.946532237
20,0.002,9.416009713
20,0.015,38.13166251
20,0.02,40.75380628
20,0.025,43.11588199
20,0.03,45.04800559
20,0.035,46.41486043
20,0.04,47.24557935
20,0.045,47.75014259
20,0.05,48.08424587
20,0.055,48.28972556
20,0.06,48.46457607
20,0.065,48.61148593
20,0.07,48.74062542
20,0.075,48.85900619
20,0.08,49.00017174
20,0.085,49.11246477
20,0.09,49.2184669
20,0.095,49.32146622
20,0.1,49.42261548
21,0.001,4.993165385
21,0.002,9.433953013
21,0.015,38.26876603
21,0.02,40.94935995
21,0.025,43.29212462
21,0.03,45.20863672
21,0.035,46.52436116
21,0.04,47.38047747
21,0.045,47.88718289
21,0.05,48.19524386
21,0.055,48.42934306
21,0.06,48.61156437
21,0.065,48.76362429
21,0.07,48.89742877
21,0.075,49.01992348
21,0.08,49.13528968
21,0.085,49.24617005
21,0.09,49.35377135
21,0.095,49.45894711
21,0.1,49.56217192
22,0.001,5.349966931
22,0.002,10.09367068
22,0.015,38.5951996
22,0.02,41.30945791
22,0.025,43.71829068
22,0.03,45.61833003
22,0.035,46.90622268
22,0.04,47.68113734
22,0.045,48.15436542
22,0.05,48.4817329
22,0.055,48.71419253
22,0.06,48.86334643
22,0.065,49.03764719
22,0.07,49.17260912
22,0.075,49.2955813
22,0.08,49.41147052
22,0.085,49.52313826
22,0.09,49.63167637
22,0.095,49.73799616
22,0.1,49.84283671
23,0.001,5.424684175
23,0.002,10.20922589
23,0.015,38.7936883
23,0.02,41.53525617
23,0.025,43.96646889
23,0.03,45.83845616
23,0.035,47.07631086
23,0.04,47.83294839
23,0.045,48.28255747
23,0.05,48.5646318
23,0.055,48.78651175
23,0.06,48.96372766
23,0.065,49.11510989
23,0.07,49.25095386
23,0.075,49.37673896
23,0.08,49.49607176
23,0.085,49.61088337
23,0.09,49.75362117
23,0.095,49.86768841
23,0.1,49.97711051
24,0.001,5.19357173
24,0.002,9.968500885
24,0.015,39.00642631
24,0.02,41.79196716
24,0.025,44.22851682
24,0.03,46.11958841
24,0.035,47.34753223
24,0.04,48.08840927
24,0.045,48.5243129
24,0.05,48.79356077
24,0.055,49.00562798
24,0.06,49.17703176
24,0.065,49.32530161
24,0.07,49.45995892
24,0.075,49.58592775
24,0.08,49.70599812
24,0.085,49.82223833
24,0.09,49.9352134
24,0.095,50.04619112
24,0.1,50.18711132
25,0.001,5.588351952
25,0.002,10.47585846
25,0.015,39.43333066
25,0.02,42.29394989
25,0.025,44.74591548
25,0.03,46.60745186
25,0.035,47.80806482
